quarter,clock_remaining,quarter_elapsed_sec,quarter_elapsed,categories,score,description
"Q3","04:50","310","05:10","score","54 - 38","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"Q3","04:38","322","05:22","score","54 - 40","2 Riven Ma | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made"
"Q3","04:23","337","05:37","score","56 - 40","7 Kisang Yu | +1 | 2nd of 2 free throws made"
"Q3","04:23","337","05:37","score","55 - 40","7 Kisang Yu | +1 | 1st of 2 free throws made"
"Q3","04:11","349","05:49","score","56 - 42","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made"
"Q3","03:55","365","06:05","score","58 - 42","22 Jun Seok Yeo | +2 | 2PtsFG under the basket, jump shot made"
"Q3","03:22","398","06:38","score","58 - 44","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, jump shot made"
"Q3","02:55","425","07:05","defensive_rebound","58 - 44","7 Kisang Yu defensive rebound"
"Q3","02:47","433","07:13","score","61 - 44","7 Kisang Yu | +3 | 3pt jump shot from center made"
"Q3","02:29","451","07:31","score","63 - 44","36 Daniel Edi | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, layup made"
"Q3","02:10","470","07:50","defensive_rebound","63 - 44","3 Jihoon Park defensive rebound"
"Q3","01:43","497","08:17","defensive_rebound","63 - 44","1 Bachir Gadiaga defensive rebound"
"Q3","01:36","504","08:24","score","63 - 46","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, driving layup made"
"Q3","00:52","548","09:08","score","63 - 49","34 Brandon Gilbeck | +1 | 1st of 1 free throw made"
"Q3","00:52","548","09:08","score","63 - 48","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, points from second chance + after turnover, jump shot made"
"Q3","00:41","559","09:19","defensive_rebound","63 - 49","1 Bachir Gadiaga defensive rebound"
"Q3","00:26","574","09:34","defensive_rebound","63 - 49","22 Jun Seok Yeo defensive rebound"
"Q3","00:10","590","09:50","score","65 - 49","31 Jaeseok Jang | +2 | 2PtsFG inside paint, alley oop lay-up made"
"Q4","09:25","35","00:35","score","65 - 51","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points after turnover, driving layup made"
"Q4","09:07","53","00:53","defensive_rebound","65 - 51","1 Bachir Gadiaga defensive rebound"
"Q4","08:59","61","01:01","score","65 - 53","9 Ying-Chun Chen | +2 | 2pt step back jump shot made"
"Q4","08:29","91","01:31","score","65 - 56","9 Ying-Chun Chen | +3 | 3PtsFG outside left, points from fastbreak + after turnover, jump shot made"
"Q4","07:55","125","02:05","score","67 - 56","11 Woosuk Lee | +2 | 2PtsFG under the basket, layup made"
"Q4","07:48","132","02:12","score","67 - 58","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, fast break, driving layup made"
