event_id,matched,source_video,video_sec,video_time,clip_start_sec,clip_start,clip_end_sec,clip_end,match_delta_clock_sec,quarter,clock_remaining,quarter_elapsed_sec,quarter_elapsed,categories,score,description
"91","yes","media/source/3Q.mov","985","16:25","980","16:20","992","16:32","0","Q3","02:10","470","07:50","defensive_rebound","63 - 44","3 Jihoon Park defensive rebound"
"92","yes","media/source/3Q.mov","1012","16:52","1007","16:47","1019","16:59","0","Q3","01:43","497","08:17","defensive_rebound","63 - 44","1 Bachir Gadiaga defensive rebound"
"93","yes","media/source/3Q.mov","1019","16:59","1014","16:54","1026","17:06","0","Q3","01:36","504","08:24","score","63 - 46","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, driving layup made"
"94","no","media/source/3Q.mov","","","","","","","","Q3","00:52","548","09:08","score","63 - 49","34 Brandon Gilbeck | +1 | 1st of 1 free throw made"
"95","no","media/source/3Q.mov","","","","","","","","Q3","00:52","548","09:08","score","63 - 48","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, points from second chance + after turnover, jump shot made"
"96","no","media/source/3Q.mov","","","","","","","","Q3","00:41","559","09:19","defensive_rebound","63 - 49","1 Bachir Gadiaga defensive rebound"
"97","no","media/source/3Q.mov","","","","","","","","Q3","00:26","574","09:34","defensive_rebound","63 - 49","22 Jun Seok Yeo defensive rebound"
"98","no","media/source/3Q.mov","","","","","","","","Q3","00:10","590","09:50","score","65 - 49","31 Jaeseok Jang | +2 | 2PtsFG inside paint, alley oop lay-up made"
"99","yes","media/source/4Q.mov","72","01:12","67","01:07","79","01:19","0","Q4","09:25","35","00:35","score","65 - 51","9 Ying-Chun Chen | +2 | 2PtsFG under the basket, points after turnover, driving layup made"
"100","yes","media/source/4Q.mov","90","01:30","85","01:25","97","01:37","0","Q4","09:07","53","00:53","defensive_rebound","65 - 51","1 Bachir Gadiaga defensive rebound"
"101","yes","media/source/4Q.mov","98","01:38","93","01:33","105","01:45","0","Q4","08:59","61","01:01","score","65 - 53","9 Ying-Chun Chen | +2 | 2pt step back jump shot made"
"102","yes","media/source/4Q.mov","128","02:08","123","02:03","135","02:15","0","Q4","08:29","91","01:31","score","65 - 56","9 Ying-Chun Chen | +3 | 3PtsFG outside left, points from fastbreak + after turnover, jump shot made"
"103","yes","media/source/4Q.mov","303","05:03","298","04:58","310","05:10","0","Q4","07:55","125","02:05","score","67 - 56","11 Woosuk Lee | +2 | 2PtsFG under the basket, layup made"
"104","yes","media/source/4Q.mov","310","05:10","305","05:05","317","05:17","0","Q4","07:48","132","02:12","score","67 - 58","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, fast break, driving layup made"
"105","yes","media/source/4Q.mov","318","05:18","313","05:13","325","05:25","0","Q4","07:40","140","02:20","score","67 - 59","9 Ying-Chun Chen | +1 | 1st free throw made"
"106","yes","media/source/4Q.mov","395","06:35","390","06:30","402","06:42","0","Q4","07:21","159","02:39","score","67 - 61","1 Bachir Gadiaga | +2 | 2PtsFG under the basket, points from fastbreak + after turnover, driving layup made"
"107","yes","media/source/4Q.mov","410","06:50","405","06:45","417","06:57","0","Q4","07:06","174","02:54","score","69 - 61","33 Seounghyun Lee | +2 | 2PtsFG inside center, jump shot made"
"108","yes","media/source/4Q.mov","484","08:04","479","07:59","491","08:11","0","Q4","06:19","221","03:41","foul_possession_convert","69 - 61","34 Brandon Gilbeck Offensive foul"
"109","yes","media/source/4Q.mov","540","09:00","535","08:55","547","09:07","0","Q4","05:58","242","04:02","defensive_rebound","69 - 61","34 Brandon Gilbeck defensive rebound"
"110","yes","media/source/4Q.mov","549","09:09","544","09:04","556","09:16","0","Q4","05:49","251","04:11","defensive_rebound","69 - 61","33 Seounghyun Lee defensive rebound"
"111","yes","media/source/4Q.mov","568","09:28","563","09:23","575","09:35","0","Q4","05:30","270","04:30","defensive_rebound","69 - 61","7 Ai-Che Yu defensive rebound"
"112","yes","media/source/4Q.mov","588","09:48","583","09:43","595","09:55","0","Q4","05:10","290","04:50","defensive_rebound","69 - 61","33 Seounghyun Lee defensive rebound"
"113","yes","media/source/4Q.mov","609","10:09","604","10:04","616","10:16","0","Q4","04:49","311","05:11","defensive_rebound","69 - 61","7 Ai-Che Yu defensive rebound"
"114","yes","media/source/4Q.mov","611","10:11","606","10:06","618","10:18","0","Q4","04:47","313","05:13","score","69 - 64","2 Riven Ma | +1 | 1st free throw made"
"115","yes","media/source/4Q.mov","611","10:11","606","10:06","618","10:18","0","Q4","04:47","313","05:13","score","69 - 63","2 Riven Ma | +2 | 2PtsFG under the basket, fast break, layup made"
"116","yes","media/source/4Q.mov","700","11:40","695","11:35","707","11:47","0","Q4","04:13","347","05:47","defensive_rebound","69 - 64","team defensive rebound"
"117","yes","media/source/4Q.mov","750","12:30","745","12:25","757","12:37","1","Q4","03:50","370","06:10","defensive_rebound","69 - 64","2 Junyong Choi defensive rebound"
"118","yes","media/source/4Q.mov","770","12:50","765","12:45","777","12:57","0","Q4","03:29","391","06:31","defensive_rebound","69 - 64","34 Brandon Gilbeck defensive rebound"
"119","yes","media/source/4Q.mov","780","13:00","775","12:55","787","13:07","0","Q4","03:19","401","06:41","score","69 - 66","7 Ai-Che Yu | +2 | 2PtsFG under the basket, driving layup made"
"120","yes","media/source/4Q.mov","808","13:28","803","13:23","815","13:35","0","Q4","02:51","429","07:09","defensive_rebound","69 - 66","1 Bachir Gadiaga defensive rebound"
"121","yes","media/source/4Q.mov","821","13:41","816","13:36","828","13:48","0","Q4","02:38","442","07:22","score","69 - 68","34 Brandon Gilbeck | +2 | 2PtsFG under the basket, dunk made"
"122","yes","media/source/4Q.mov","946","15:46","941","15:41","953","15:53","0","Q4","01:50","490","08:10","defensive_rebound","69 - 68","1 Bachir Gadiaga defensive rebound"
"123","yes","media/source/4Q.mov","972","16:12","967","16:07","979","16:19","0","Q4","01:27","513","08:33","score","69 - 70","34 Brandon Gilbeck | +2 | 2PtsFG under the basket made"
"124","yes","media/source/4Q.mov","996","16:36","991","16:31","1003","16:43","0","Q4","01:03","537","08:57","defensive_rebound","69 - 70","11 Woosuk Lee defensive rebound"
"125","yes","media/source/4Q.mov","997","16:37","992","16:32","1004","16:44","0","Q4","01:02","538","08:58","score","71 - 70","11 Woosuk Lee | +2 | 2PtsFG under the basket, fast break, driving layup made"
"126","yes","media/source/4Q.mov","998","16:38","993","16:33","1005","16:45","0","Q4","01:01","539","08:59","score","72 - 70","11 Woosuk Lee | +1 | 1st free throw made"
"127","no","media/source/4Q.mov","","","","","","","","Q4","00:39","561","09:21","score","72 - 72","34 Brandon Gilbeck | +1 | 2nd of 2 free throws made"
"128","no","media/source/4Q.mov","","","","","","","","Q4","00:39","561","09:21","score","72 - 71","34 Brandon Gilbeck | +1 | 1st of 2 free throws made"
"129","no","media/source/4Q.mov","","","","","","","","Q4","00:20","580","09:40","score","75 - 72","6 Junghyun Lee | +3 | 3pt jump shot from center made"
"130","no","media/source/4Q.mov","","","","","","","","Q4","00:08","592","09:52","score","75 - 75","0 Benson Lin | +3 | 3pt jump shot made"
